iter	Passed	Remaining
0	219	219184
1	221	110640
2	226	75137
3	228	56864
4	230	45947
5	233	38710
6	236	33489
7	238	29606
8	241	26578
9	243	24119
10	245	22105
11	248	20431
12	250	19006
13	252	17813
14	255	16754
15	257	15829
16	261	15120
17	265	14481
18	270	13960
19	272	13350
20	274	12797
21	275	12263
22	277	11805
23	282	11487
24	284	11084
25	285	10697
26	286	10337
27	288	9998
28	289	9684
29	290	9387
30	291	9103
31	296	8954
32	297	8732
33	299	8501
34	300	8274
35	301	8065
36	302	7864
37	303	7677
38	304	7500
39	306	7347
40	308	7209
41	309	7064
42	310	6919
43	311	6777
44	313	6642
45	314	6516
46	315	6390
47	316	6270
48	317	6155
49	318	6044
50	319	5936
51	324	5910
52	325	5813
53	326	5715
54	327	5622
55	328	5531
56	329	5445
57	330	5360
58	330	5277
59	331	5196
60	332	5119
61	333	5044
62	334	4971
63	336	4926
64	338	4862
65	340	4812
66	342	4764
67	343	4704
68	344	4645
69	345	4589
70	346	4533
71	347	4478
72	348	4424
73	351	4396
74	352	4346
75	353	4300
76	354	4250
77	355	4202
78	356	4156
79	357	4109
80	358	4064
81	359	4021
82	359	3973
83	360	3931
84	361	3889
85	362	3849
86	363	3810
87	366	3794
88	368	3769
89	369	3734
90	370	3698
91	371	3663
92	372	3628
93	372	3594
94	373	3560
95	374	3527
96	375	3495
97	376	3464
98	377	3432
99	378	3402
100	379	3377
101	381	3356
102	382	3335
103	383	3307
104	384	3281
105	385	3254
106	386	3228
107	387	3202
108	388	3175
109	389	3150
110	390	3125
111	391	3100
112	391	3076
113	392	3052
114	393	3029
115	395	3017
116	397	3000
117	398	2980
118	399	2958
119	400	2937
120	401	2916
121	402	2894
122	403	2875
123	404	2855
124	405	2835
125	405	2815
126	406	2794
127	407	2775
128	408	2757
129	410	2750
130	414	2747
131	415	2729
132	416	2712
133	416	2694
134	418	2679
135	418	2661
136	419	2644
137	420	2627
138	421	2610
139	422	2594
140	423	2579
141	424	2567
142	426	2554
143	427	2542
144	428	2526
145	429	2512
146	430	2497
147	431	2482
148	432	2468
149	433	2454
150	433	2439
151	434	2425
152	435	2411
153	436	2398
154	437	2384
155	438	2371
156	441	2367
157	442	2356
158	443	2345
159	444	2332
160	445	2319
161	446	2308
162	447	2296
163	448	2285
164	449	2273
165	450	2261
166	450	2249
167	451	2238
168	452	2226
169	453	2215
170	456	2212
171	459	2210
172	460	2200
173	461	2190
174	462	2179
175	463	2169
176	464	2159
177	465	2148
178	466	2138
179	467	2129
180	468	2118
181	469	2109
182	470	2102
183	472	2093
184	473	2085
185	474	2076
186	475	2067
187	476	2058
188	477	2049
189	478	2039
190	479	2030
191	480	2020
192	481	2011
193	481	2002
194	482	1993
195	483	1984
196	486	1983
197	488	1979
198	489	1970
199	490	1962
200	491	1953
201	492	1944
202	493	1936
203	494	1927
204	495	1920
205	495	1911
206	496	1903
207	497	1895
208	498	1886
209	499	1879
210	501	1874
211	502	1868
212	504	1862
213	505	1854
214	505	1847
215	506	1840
216	508	1833
217	508	1825
218	509	1818
219	510	1810
220	511	1803
221	512	1795
222	513	1788
223	514	1781
224	517	1781
225	519	1777
226	520	1770
227	520	1764
228	521	1757
229	522	1750
230	523	1743
231	524	1737
232	525	1730
233	526	1723
234	527	1716
235	528	1709
236	528	1703
237	531	1703
238	533	1697
239	534	1692
240	536	1690
241	537	1684
242	538	1678
243	539	1673
244	540	1666
245	541	1660
246	542	1654
247	543	1647
248	544	1642
249	546	1639
250	547	1635
251	548	1629
252	549	1623
253	550	1617
254	551	1611
255	552	1605
256	553	1600
257	554	1594
258	555	1588
259	556	1583
260	557	1577
261	558	1572
262	558	1566
263	560	1562
264	561	1558
265	563	1555
266	564	1550
267	565	1544
268	566	1539
269	567	1533
270	568	1528
271	568	1522
272	569	1517
273	570	1512
274	571	1506
275	572	1501
276	573	1496
277	574	1492
278	577	1491
279	579	1490
280	580	1486
281	581	1481
282	582	1476
283	583	1471
284	584	1467
285	585	1462
286	586	1457
287	587	1452
288	588	1447
289	589	1443
290	591	1440
291	592	1436
292	593	1432
293	594	1427
294	595	1422
295	596	1418
296	597	1413
297	598	1409
298	599	1404
299	599	1399
300	600	1395
301	601	1390
302	602	1386
303	603	1381
304	605	1378
305	607	1377
306	609	1376
307	610	1371
308	611	1367
309	612	1363
310	613	1359
311	614	1354
312	615	1350
313	616	1345
314	616	1341
315	617	1336
316	618	1332
317	619	1328
318	621	1326
319	622	1323
320	623	1319
321	624	1315
322	625	1310
323	626	1306
324	627	1302
325	628	1299
326	629	1295
327	630	1291
328	631	1287
329	632	1283
330	632	1279
331	633	1275
332	635	1273
333	637	1271
334	638	1268
335	639	1264
336	640	1260
337	641	1256
338	642	1252
339	643	1249
340	644	1245
341	645	1241
342	646	1237
343	647	1234
344	648	1230
345	649	1226
346	651	1225
347	655	1228
348	656	1225
349	657	1221
350	658	1218
351	660	1215
352	661	1211
353	661	1208
354	663	1204
355	664	1201
356	666	1201
357	668	1198
358	669	1195
359	670	1192
360	671	1188
361	672	1185
362	674	1182
363	675	1179
364	676	1176
365	677	1172
366	677	1169
367	678	1166
368	682	1166
369	685	1166
370	686	1163
371	687	1160
372	688	1157
373	689	1153
374	690	1150
375	691	1146
376	692	1143
377	693	1140
378	693	1137
379	695	1133
380	696	1131
381	699	1130
382	700	1128
383	701	1125
384	702	1122
385	703	1119
386	705	1116
387	706	1113
388	707	1110
389	708	1107
390	711	1108
391	713	1106
392	714	1103
393	715	1100
394	716	1097
395	717	1094
396	718	1090
397	719	1087
398	720	1084
399	721	1081
400	722	1078
401	723	1076
402	724	1073
403	726	1072
404	729	1071
405	731	1069
406	732	1066
407	733	1063
408	734	1061
409	735	1058
410	736	1055
411	737	1052
412	738	1050
413	740	1048
414	742	1046
415	744	1044
416	746	1043
417	747	1041
418	748	1038
419	749	1035
420	751	1032
421	752	1030
422	753	1027
423	754	1025
424	757	1024
425	759	1023
426	760	1020
427	761	1018
428	762	1015
429	764	1013
430	765	1010
431	766	1008
432	767	1005
433	768	1002
434	774	1005
435	776	1004
436	777	1002
437	779	999
438	780	997
439	781	994
440	782	991
441	783	989
442	784	986
443	787	985
444	790	986
445	792	984
446	793	981
447	794	979
448	795	976
449	797	974
450	798	971
451	801	972
452	805	972
453	806	969
454	807	966
455	808	964
456	809	961
457	810	958
458	810	955
459	811	953
460	812	950
461	813	947
462	814	945
463	817	944
464	819	942
465	821	940
466	822	938
467	823	935
468	824	933
469	825	930
470	826	927
471	827	925
472	828	922
473	830	921
474	831	919
475	833	917
476	834	914
477	835	912
478	836	910
479	837	907
480	838	904
481	839	902
482	840	899
483	841	897
484	842	894
485	843	892
486	846	892
487	849	891
488	850	888
489	851	886
490	852	883
491	853	881
492	854	879
493	855	876
494	857	874
495	857	871
496	858	869
497	860	867
498	862	866
499	863	863
500	864	861
501	865	858
502	866	856
503	868	854
504	869	851
505	870	849
506	871	847
507	872	844
508	873	842
509	876	841
510	878	840
511	879	838
512	881	837
513	882	834
514	883	832
515	884	829
516	885	827
517	886	824
518	887	822
519	888	819
520	889	817
521	890	815
522	893	814
523	894	812
524	895	810
525	896	808
526	897	805
527	899	803
528	899	801
529	900	798
530	901	796
531	902	794
532	903	791
533	905	790
534	907	788
535	908	786
536	909	784
537	910	781
538	911	779
539	912	777
540	913	775
541	914	772
542	915	770
543	916	767
544	916	765
545	917	763
546	918	760
547	920	759
548	921	757
549	922	755
550	923	752
551	924	750
552	925	748
553	927	746
554	928	744
555	929	741
556	930	739
557	931	737
558	931	735
559	933	733
560	934	731
561	936	729
562	938	728
563	940	726
564	941	724
565	942	722
566	943	720
567	944	718
568	945	715
569	945	713
570	946	711
571	947	709
572	949	707
573	950	705
574	951	703
575	952	701
576	953	699
577	954	697
578	955	694
579	956	692
580	957	690
581	958	688
582	959	686
583	960	683
584	961	681
585	961	679
586	962	677
587	964	675
588	965	673
589	967	672
590	968	670
591	969	668
592	970	666
593	971	663
594	972	661
595	973	659
596	974	657
597	974	655
598	975	653
599	976	651
600	977	649
601	980	648
602	981	646
603	982	644
604	983	642
605	984	640
606	985	638
607	986	636
608	987	634
609	988	631
610	989	629
611	990	627
612	991	625
613	991	623
614	992	621
615	994	619
616	997	619
617	998	617
618	999	615
619	1000	613
620	1001	611
621	1002	609
622	1003	607
623	1004	605
624	1004	602
625	1005	600
626	1006	598
627	1007	596
628	1009	595
629	1010	593
630	1012	591
631	1014	590
632	1015	588
633	1016	586
634	1017	584
635	1017	582
636	1018	580
637	1019	578
638	1020	576
639	1021	574
640	1022	572
641	1023	570
642	1025	569
643	1026	567
644	1027	565
645	1028	563
646	1029	561
647	1030	559
648	1031	557
649	1032	555
650	1033	553
651	1034	551
652	1034	549
653	1035	548
654	1036	546
655	1037	544
656	1040	543
657	1043	542
658	1044	540
659	1045	538
660	1046	536
661	1047	534
662	1048	533
663	1049	531
664	1050	529
665	1051	527
666	1052	525
667	1053	523
668	1054	521
669	1058	521
670	1059	519
671	1060	517
672	1061	515
673	1062	513
674	1063	511
675	1064	509
676	1064	508
677	1065	506
678	1066	504
679	1067	502
680	1068	500
681	1071	499
682	1073	498
683	1074	496
684	1075	494
685	1076	492
686	1077	491
687	1078	489
688	1079	487
689	1080	485
690	1081	483
691	1082	481
692	1083	479
